Task Name,Start Date,End Date,Duration (Days),% Complete,Priority,Status,Assignee,Description,Parent ID
"Chemsol Zoho Creator Implementation",,,0,0,High,Not Started,Admin,"Project-centric ERP on Zoho Creator. Everything tags to Project. 7 phases, 12 weeks.",
"Phase 1: Master Data Setup",,,0,0,High,Not Started,Purchase / Admin,"Foundation data. Weeks 1-2. Items, Suppliers, Customers, Stores, Users, Approval Matrix.","Chemsol Zoho Creator Implementation"
"Purchase Item Muster","2026-07-06","2026-07-07",2,0,High,Not Started,Admin,"Central item catalog. 6 Categories (RM/Packaging/Tools/Maintenance/Capital/Admin). UOM: Nos/Kg/Ltr/Mtr/Kit. HSN, GST%, Min/Max stock.","Phase 1: Master Data Setup"
"System Master","2026-07-07","2026-07-07",1,0,High,Not Started,Admin / Production,"Flooring system codes: EP01/EP02 (Epoxy), PU (PU), DEM (Demarcation), NUM/ARR/ANTI/ESD/FIL/COV.","Phase 1: Master Data Setup"
"BOM Master","2026-07-08","2026-07-09",2,0,High,Not Started,Production / QC,"Material consumption per system. Header + N line items (Code/Name/UOM/Qty/Waste%/Total Qty formula).","Phase 1: Master Data Setup"
"Supplier Master","2026-07-09","2026-07-10",2,0,High,Not Started,Purchase / Admin,"16 fields: GSTIN, PAN, Bank, Payment Terms, Credit Days. Referenced by PO/GRN/Rate Comparison.","Phase 1: Master Data Setup"
"Customer / Site Master","2026-07-10","2026-07-10",1,0,High,Not Started,Sales / Admin,"Client org + site details. Referenced by SO and Project.","Phase 1: Master Data Setup"
"Store Master & Bin Location","2026-07-13","2026-07-13",1,0,High,Not Started,Stores / Admin,"6 warehouses: Wadki/Main/Neelo/Gurgaon/Bangalore/Client Site. Rack/Shelf/Bin mapping.","Phase 1: Master Data Setup"
"User Access Setup","2026-07-14","2026-07-14",1,0,High,Not Started,Admin,"8 departments. Roles: Entry/Review/Approve/Admin.","Phase 1: Master Data Setup"
"Approval Matrix","2026-07-14","2026-07-15",1,0,High,Not Started,Admin,"PR/PO limits per dept. 3-level approver escalation. Doc types: PR/PO/GRN/MR.","Phase 1: Master Data Setup"
"Configure Item AutoFetch Rules","2026-07-15","2026-07-15",1,0,High,Not Started,Admin,"Bidirectional Item Code<->Name. AutoFetch UOM/HSN/GST%/Lead Time/Stock.","Phase 1: Master Data Setup"
"Phase 2: Project Hub + Sales Module",,,0,0,High,Not Started,Project Manager / Sales,"CENTRAL PHASE: Build Project form + Sales Order. Project is the hub for ALL downstream modules. Weeks 3-4.","Chemsol Zoho Creator Implementation"
